district,id
tamenglong/q2301717,676
tapi/q670165,677
tarntaran/q2298993,678
tawang/q15449,679
tehrigarhwal/q1357107,680
telangana/q1234571,681
tengnoupal/q28419388,682
thane/q943099,683
thanjavur/q15194,684
thedangs/q1135616,685
thenilgiris/q15188,686
theni/q15196,687
thiruvallur/q15204,688
thiruvananthapuram/q162612,689
thiruvarur/q15197,690
thoothukudi/q15198,691
thoubal/q2086198,692
thrissur/q2429655,693
tikamgarh/q2449760,694
tirap/q15448,695
tiruchchirappalli/q15201,696
tirunelvelikattabo/q15200,697
tiruppur/q15202,698
tiruvanamalai/q15207,699
tonk/q915880,700
tuensang/q2571393,701
tumkur/q1301635,702
udaipur/q1321577,703
udhamsinghnagar/q1805082,704
udhampur/q1947311,705
udupi/q1483337,706
ujjain/q892641,707
ukhrul/q735101,708
umaria/q620297,709
una/q2301741,710
unnao/q1937875,711
unokoti/q16087996,712
upperdibangvalley/q15446,713
uppersiang/q15465,714
uppersubansiri/q15464,715
uttarbastarkanker/q2310530,716
uttardinajpur/q2019766,717
uttarakannada/q579205,718
uttarkashi/q1773437,719
vadodara/q578285,720
vaishali/q100130,721
valsad/q1946743,722
varanasi/q1321140,723
vellore/q15206,724
vidisha/q1815253,725
viluppuram/q15205,726
virudhunagar/q15209,727
visakhapatnam/q15394,728
vizianagaram/q15392,729
wardha/q980608,730
washim/q1804858,731
wayanad/q1364427,732
westgarohills/q2329181,733
westgodavari/q15404,734
westjaintiahills/q1920789,735
westkameng/q15459,736
westkhasihills/q2064752,737
westsiang/q15453,738
westsikkim/q611357,739
westtripura/q1947570,740
wokha/q681821,741
yadagiri/q1786949,742
yamunanagar/q1873644,743
yavatmal/q1804852,744
ysr/q15342,745
zunheboto/q2091461,746
